Date,Open,Close,Diff,ShortMA,LongMA,Trend,Unusual
1996-10-30,701.5,700.9,-0.086,700.9,700.9,0,0.0
1996-10-31,700.9,705.27,0.623,703.08,703.08,0,0.0
1996-11-01,705.27,703.77,-0.213,703.31,703.31,0,0.0
1996-11-04,703.77,706.73,0.421,704.17,704.17,0,0.0
1996-11-05,706.73,714.14,1.048,706.16,706.16,0,0.0
1996-11-06,714.14,724.59,1.463,709.23,709.23,0,0.0
1996-11-07,724.59,727.65,0.422,711.86,711.86,0,0.0
1996-11-08,727.65,730.82,0.436,714.23,714.23,0,0.0
1996-11-11,730.82,731.87,0.144,716.19,716.19,0,0.0
1996-11-12,731.87,729.56,-0.316,717.53,717.53,0,0.0
1996-11-13,729.56,731.13,0.215,718.77,718.77,0,0.0
1996-11-14,731.13,735.88,0.65,720.19,720.19,0,0.0
1996-11-15,735.88,737.62,0.236,721.53,721.53,0,0.0
1996-11-18,737.62,737.02,-0.081,722.64,722.64,0,0.0
1996-11-19,737.02,742.16,0.697,723.94,723.94,0,0.0
1996-11-20,742.16,743.95,0.241,725.19,725.19,0,0.0
1996-11-21,743.95,742.75,-0.161,726.22,726.22,0,0.0
1996-11-22,742.75,748.73,0.805,727.47,727.47,0,0.0
1996-11-25,748.73,757.03,1.109,729.03,729.03,0,0.0
1996-11-26,757.03,755.96,-0.141,730.38,730.38,0,0.0
1996-11-27,755.96,755.0,-0.127,731.55,731.55,0,0.0
1996-11-29,755.0,757.02,0.268,732.71,732.71,0,0.0
1996-12-02,757.02,756.56,-0.061,733.74,733.74,0,0.0
1996-12-03,756.56,748.28,-1.094,734.35,734.35,0,0.0
1996-12-04,748.28,745.1,-0.425,734.78,734.78,0,0.0
1996-12-05,745.1,744.38,-0.097,735.15,735.15,0,0.0
1996-12-06,744.38,739.6,-0.642,735.31,735.31,0,0.0
1996-12-09,739.6,749.81,1.38,735.83,735.83,0,0.0
1996-12-10,749.76,747.54,-0.296,736.24,736.24,0,0.0
1996-12-11,747.54,740.73,-0.911,736.39,736.39,0,0.0
1996-12-12,740.73,729.33,-1.539,736.16,736.16,0,0.0
1996-12-13,729.33,728.64,-0.095,735.92,735.92,0,0.0
1996-12-16,728.64,720.98,-1.051,735.47,735.47,0,0.0
1996-12-17,720.98,726.04,0.702,735.19,735.19,0,0.0
1996-12-18,726.04,731.54,0.758,735.09,735.09,0,0.0
1996-12-19,731.54,745.76,1.944,735.38,735.38,0,0.0
1996-12-20,745.76,748.87,0.417,735.75,735.75,0,0.0
1996-12-23,748.87,746.92,-0.26,736.04,736.04,0,0.0
1996-12-24,746.92,751.03,0.55,736.43,736.43,0,0.0
1996-12-26,751.02,755.82,0.639,736.91,736.91,0,0.0
1996-12-27,755.82,756.79,0.128,737.4,737.4,0,0.0
1996-12-30,756.79,753.85,-0.388,737.79,737.79,0,0.0
1996-12-31,753.85,740.74,-1.739,737.86,737.86,0,0.0
1997-01-02,740.74,737.01,-0.504,737.84,737.84,0,0.0
1997-01-03,737.01,748.03,1.495,738.06,738.06,0,0.0
1997-01-06,748.03,747.65,-0.051,738.27,738.27,0,0.0
1997-01-07,747.65,753.23,0.746,738.59,738.59,0,0.0
1997-01-08,753.23,748.41,-0.64,738.8,738.8,0,0.0
1997-01-09,748.41,754.85,0.86,739.12,739.12,0,0.0
1997-01-10,754.85,759.5,0.616,739.53,739.53,0,0.0
1997-01-13,759.5,759.51,0.001,740.7,739.92,1,0.0
1997-01-14,759.51,768.86,1.231,741.97,740.48,1,0.0
1997-01-15,768.86,767.2,-0.216,743.24,740.98,1,0.0
1997-01-16,767.2,769.75,0.332,744.5,741.52,1,0.0
1997-01-17,769.75,776.17,0.834,745.74,742.15,1,0.0
1997-01-20,776.17,776.7,0.068,746.79,742.76,1,0.0
1997-01-21,776.7,782.72,0.775,747.89,743.46,1,0.0
1997-01-22,782.72,786.23,0.448,749.0,744.2,1,0.0
1997-01-23,786.23,777.56,-1.103,749.91,744.77,1,0.0
1997-01-24,777.53,770.52,-0.902,750.73,745.2,1,0.0
1997-01-27,770.52,765.02,-0.714,751.41,745.52,1,0.0
1997-01-28,765.02,765.02,0.0,751.99,745.84,1,0.0
1997-01-29,765.02,772.5,0.978,752.69,746.26,1,0.0
1997-01-30,772.5,784.17,1.511,753.63,746.85,1,0.0
1997-01-31,784.17,786.16,0.254,754.51,747.46,1,0.0
1997-02-03,786.16,786.73,0.073,755.37,748.05,1,0.0
1997-02-04,786.73,789.26,0.322,756.3,748.67,1,0.0
1997-02-05,789.26,778.28,-1.391,756.89,749.1,1,0.0
1997-02-06,778.28,780.15,0.24,757.35,749.55,1,0.0
1997-02-07,780.15,789.56,1.206,758.02,750.12,1,0.0
1997-02-10,789.56,785.43,-0.523,758.63,750.62,1,0.0
1997-02-11,785.43,789.59,0.53,759.28,751.16,1,0.0
1997-02-12,789.59,802.77,1.669,760.21,751.87,1,0.0
1997-02-13,802.77,811.82,1.127,761.48,752.68,1,0.0
